country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Finland,17.8k,17.1k,16.6k,16.6k,17.7k,19k,19.6k,21.5k,23.1k,24.5k,26.6k,27.8k,28.7k,28.9k,31.4k,32.2k,34.8k,38k,40.1k,38.4k,39.5k,41.1k,41.1k,41.7k,42.2k,42.9k,45.1k,47.6k,49.8k,50.6k,51.8k,55.9k
Fiji,3780,3810,4100,4270,4510,4850,5180,5080,5060,5520,5790,5810,6130,6200,6640,6930,6830,7020,7160,7220,7280,7610,8080,8860,10.2k,11.1k,11.3k,11.8k,12.8k,12.7k,10.8k,10.7k
France,17.8k,18.4k,19k,19.3k,20.1k,20.8k,21.5k,22.5k,23.7k,24.8k,26.5k,28k,28.8k,28.5k,29.5k,31k,33.1k,34.8k,35.9k,35.5k,36.7k,38.4k,38.5k,40.4k,41k,41.7k,43.8k,45.6k,47.6k,50k,47.6k,51.7k
"Micronesia, Fed. Sts.",,,,2310,2290,2350,2300,2120,2180,2290,2450,2540,2590,2680,2710,2880,2980,3050,3020,3190,3240,3380,3420,3450,3420,3960,3940,4000,3690,4100,4060,4010
Gabon,10.8k,11.5k,10.8k,11k,11.7k,12k,12.4k,13k,13.5k,12.1k,11.4k,11.9k,12.2k,12.1k,11.6k,12.7k,11.9k,12.3k,11.9k,11.9k,12.2k,12.8k,13.2k,13k,14k,12.9k,12.7k,13.6k,13.6k,13.9k,13.9k,12.8k
United Kingdom,17.4k,17.8k,18.5k,19.3k,20.8k,20k,21.2k,22.7k,23.8k,24.4k,26.6k,28k,29.4k,30.7k,32.4k,33.2k,34.9k,35.5k,36.5k,34.9k,36.6k,37.5k,38.1k,39.4k,40.7k,41.9k,43.5k,45.8k,46.9k,48.8k,46k,49.4k
Georgia,,,2580,1830,1700,1800,2160,2660,2890,3070,3140,3400,3660,4170,4610,5220,5990,6840,7110,6960,7430,8120,9720,10.4k,11.4k,11.8k,12.3k,12.9k,14k,14.9k,14k,15.9k
Ghana,1560,1660,1720,1800,1850,1920,2000,2070,2140,2210,2280,2370,2450,2550,2700,2880,3080,3220,3490,3590,3790,4260,4690,4980,5100,4870,4620,4690,5010,5340,5610,5820
Guinea,850,860,890,940,970,1010,1040,1090,1120,1160,1190,1240,1320,1280,1310,1340,1460,1560,1610,1550,1620,1690,1740,1700,1720,1760,2010,2370,2440,2520,2490,2560
Gambia,1350,1400,1430,1460,1450,1460,1470,1500,1530,1590,1660,1740,1650,1780,1950,1900,1890,1950,2050,2130,2210,2000,1990,1920,1830,1870,1880,1890,2020,2140,2120,2220
Guinea-Bissau,990,1040,1050,1060,1080,1120,1250,1340,950,950,1010,1030,1030,1030,1070,1120,1160,1210,1220,1250,1300,1410,1320,1300,1390,1590,1740,1880,1830,2010,1930,2010
Equatorial Guinea,620,620,840,910,900,970,1550,4030,4450,5740,5210,5640,7180,6820,8550,12.3k,20.2k,23.2k,24.6k,21.4k,16.7k,19.1k,21.5k,20.6k,19.9k,15.7k,13.8k,14.4k,13.9k,12.4k,11.8k,12k
Greece,,,,,,,,,,,,,,,,,28k,28.6k,29.9k,29.7k,27.3k,25k,25.1k,26k,26.8k,26.7k,27.4k,28.5k,29.3k,30.1k,27.8k,31.5k
Grenada,4400,4670,4700,4620,4750,4850,5110,5410,6030,6480,6830,6710,6960,7760,7650,9560,9390,10k,10.3k,9290,9600,9910,9910,10.7k,10.9k,11.5k,12.6k,13.3k,14.2k,14.5k,12.9k,14.2k
Guatemala,3220,3420,3560,3710,3840,4020,4090,4250,4430,4540,4700,4840,4930,5050,5220,5440,5770,6160,6420,6350,6450,6720,7060,7270,7560,8000,8040,8150,8490,8870,8690,9590
Guyana,2700,2820,3240,3730,4210,4530,5100,5440,5450,5630,5760,5990,6140,6260,6580,6700,7130,8080,8400,8790,9390,10.1k,10.7k,11.3k,11.2k,11.4k,11.5k,12.2k,12.6k,13.2k,19.1k,22.9k
"Hong Kong, China",17.7k,19.1k,20.6k,22.9k,24.2k,24.9k,24.9k,26.6k,25.6k,26.4k,28.4k,29.5k,29.8k,32k,35.3k,38.3k,42.7k,46.7k,49.6k,47.2k,50.2k,53.7k,53k,54.7k,55.9k,57.5k,58.7k,62.4k,65.5k,65.2k,62.4k,70.6k
Honduras,1900,1830,1920,2080,2070,2180,2200,2300,2360,2330,2480,2530,2580,2660,2810,3020,3230,3500,3650,3550,3550,3660,3690,3780,4020,4410,4690,5110,5250,5390,4930,5620
Croatia,,,,,,8030,8760,9520,9810,9730,10.5k,11.4k,12.6k,13.2k,14.4k,15.1k,17.2k,19.1k,20.3k,19.5k,19.4k,20.4k,20.7k,21.7k,22k,23.5k,24.8k,27.1k,28.8k,30.7k,29.8k,34.6k
Haiti,2170,2240,2130,2020,1790,1980,2060,2110,2140,2190,2210,2210,2230,2310,2300,2400,2490,2630,2710,2850,2690,2860,2810,3000,3010,2940,3130,3200,3280,3240,3130,3160
